Library Source,Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,ASIN,ISBN10,ISBN13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads,Collection Ids,Subtitle,Podcast Parent,Is New
Main,358,The Truth and Other Stories,The Truth and Other Stories,,,"Of these twelve short stories by science fiction master Stanislaw Lem, only three have previously appeared in English, making this the first “new” book of fiction by Lem since the late 1980s. The stories display the full range of Lem’s intense curiosity about scientific ideas as well as...",Stanislaw Lem,David Aaron Baker,,,,,14h 11m,,,,,,,,,,,,,,,,true,B09PM8FN77,,,,,https://audible.com/pd/B09PM8FN77?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B09PM8FN77,https://m.media-amazon.com/images/I/51W4zPwolJL._SL500_.jpg,https://www.goodreads.com/search?q=Stanislaw%20Lem%20-%20The%20Truth%20and%20Other%20Stories,,,,true
Main,357,The Emperor of Gladness: A Novel,The Emperor of Gladness: A Novel,,,"An Audie Award finalist The instant New York Times bestseller Oprah’s Book Club Pick Named a Best Book of 2025 by TIME, The New Yorker, Harper's Bazaar, USA Today, NPR, People, Christian Science Monitor, Scientific American, and Kirkus Reviews A 2026 Andrew Carnegie Medal for...",Ocean Vuong,James Aaron Oh,,,,,14h 5m,,,,,,,,,,,,,,,,true,B0DJDMKYM1,,,,,https://audible.com/pd/B0DJDMKYM1?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0DJDMKYM1,https://m.media-amazon.com/images/I/41ztHCEycpL._SL500_.jpg,https://www.goodreads.com/search?q=Ocean%20Vuong%20-%20The%20Emperor%20of%20Gladness%3A%20A%20Novel,,,,true
Main,356,Transformer: The Deep Chemistry of Life and Death,Transformer: The Deep Chemistry of Life and Death,,,"For decades, biology has been dominated by the study of genetic information. Information is important, but it is only part of what makes us alive. Our inheritance also includes our living metabolic network, a flame passed from generation to generation, right back to the origin of life. In...",Nick Lane,Richard Trinder,,,,,,7h 51m left,,,,,,,,,,,,,,,true,B0B52FXYTF,,,,,https://audible.com/pd/B0B52FXYTF?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0B52FXYTF,https://m.media-amazon.com/images/I/51zGVw9GEdL._SL500_.jpg,https://www.goodreads.com/search?q=Nick%20Lane%20-%20Transformer%3A%20The%20Deep%20Chemistry%20of%20Life%20and%20Death,,,,true
Main,355,Istanbul: Memories of a City,Istanbul: Memories of a City,,,"Istanbul is a shimmering evocation, by turns intimate and panoramic, of one of the world's great cities, by its foremost writer. Orhan Pamuk, winner of the Nobel Prize in 2006, was born in Istanbul, in the family apartment building where his mother first held him in her arms. His portrait of his...","Orhan Pamuk, Maureen Freely",John Lee,,,,,9h 46m,,,,,,,,,,,,,,,,true,B00EDRW1QW,,,,,https://audible.com/pd/B00EDRW1QW?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B00EDRW1QW,https://m.media-amazon.com/images/I/61uhfqUmWEL._SL500_.jpg,https://www.goodreads.com/search?q=Orhan%20Pamuk%20-%20Istanbul%3A%20Memories%20of%20a%20City,,,,true
Main,354,The Idiot,The Idiot,Idiot (book 1),1,"Finalist for the Pulitzer Prize for Fiction A New York Times Book Review Notable Book Nominated for the Women's Prize for Fiction “Easily the funniest book I’ve read this year.” —GQ “Masterly funny debut novel . . . Erudite but never pretentious, The Idiot will make you...",Elif Batuman,Elif Batuman,,,,,,10h 47m left,,,,,,,,,,,,,,,true,B01MUWM2DY,,,,,https://audible.com/pd/B01MUWM2DY?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B01MUWM2DY,https://m.media-amazon.com/images/I/41qo2CqVCCL._SL500_.jpg,https://www.goodreads.com/search?q=Elif%20Batuman%20-%20The%20Idiot,,,,true
Main,353,"The Road to Wisdom: On Truth, Science, Faith, and Trust","The Road to Wisdom: On Truth, Science, Faith, and Trust",,,"From “national treasure” Francis Collins (Philip Yancey), the New York Times bestselling author of The Language of God and former director of the National Institutes of Health, comes a deeply thoughtful guidebook to get us beyond societal divisions and back to the sources of wisdom—""the...",Francis S. Collins,Francis S. Collins,,,,,,8h 57m left,,,,,,,,,,,,,,,true,B0CV26DTQH,,,,,https://audible.com/pd/B0CV26DTQH?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0CV26DTQH,https://m.media-amazon.com/images/I/41n58iDtptL._SL500_.jpg,https://www.goodreads.com/search?q=Francis%20S.%20Collins%20-%20The%20Road%20to%20Wisdom%3A%20On%20Truth%2C%20Science%2C%20Faith%2C%20and%20Trust,,,,true
Main,352,The Sense of Wonder,The Sense of Wonder,,,"""If a child is to keep alive his inborn sense of wonder, he needs the companionship of at least one adult who can share it, rediscovering with him the joy, excitement and mystery of the world we live in."" -Rachel Carson First published more than 50 years ago, this award-winning classic brings...",Rachel Carson,Kaiulani Lee,,,,,,Finished,,,,,,,,,,,,,,,true,B002V0Q9O8,,,,,https://audible.com/pd/B002V0Q9O8?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B002V0Q9O8,https://m.media-amazon.com/images/I/412uUdBmHEL._SL500_.jpg,https://www.goodreads.com/search?q=Rachel%20Carson%20-%20The%20Sense%20of%20Wonder,__AYCL,,,true
Main,351,Sense of Wonder Audiobook by Rachel Carson,Sense of Wonder Audiobook by Rachel Carson,,,Listen to this audiobook in full for free on https://esound.space ID: 628453 Title: Sense of Wonder Author: Rachel Carson Narrator: Kaiulani Lee ...,,,,,,,,23m left,,,,,,,Podcast,,,true,,,,,true,B0FH5HCLP8,,,,,https://audible.com/pd/B0FH5HCLP8?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0FH5HCLP8,https://m.media-amazon.com/images/I/41IgKhc141L._SL500_.jpg,https://www.goodreads.com/search?q=Sense%20of%20Wonder%20Audiobook%20by%20Rachel%20Carson,,,,true
Main,350,The Word for World Is Forest,The Word for World Is Forest,The Hainish Cycle (book 6),6,"When the inhabitants of a peaceful world are conquered by the bloodthirsty yumens, their existence is irrevocably altered. Forced into servitude, the Athsheans find themselves at the mercy of their brutal masters. Desperation causes the Athsheans, led by Selver, to retaliate against their...",Ursula K. Le Guin,John Skelley,,,,,,4h 12m left,,,,,,,,,,,,,,,true,B0CMZ17B99,,,,,https://audible.com/pd/B0CMZ17B99?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0CMZ17B99,https://m.media-amazon.com/images/I/51zt7y1s8ML._SL500_.jpg,https://www.goodreads.com/search?q=Ursula%20K.%20Le%20Guin%20-%20The%20Word%20for%20World%20Is%20Forest,,,,true
Main,349,The Voyage of the Beagle,The Voyage of the Beagle,,,"I hate every wave of the ocean', the seasick Charles Darwin wrote to his family during his five-year voyage on the H.M.S. Beagle....",Charles Darwin,Barnaby Edwards,,,,,25h 17m,,,,,,,,,,,true,,,,,true,B00C7S8TGA,,,,,https://audible.com/pd/B00C7S8TGA?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B00C7S8TGA,https://m.media-amazon.com/images/I/51DcTUttl1L._SL500_.jpg,https://www.goodreads.com/search?q=Charles%20Darwin%20-%20The%20Voyage%20of%20the%20Beagle,__AYCL,,,true
